RULEFILE, String
D001KERN, String
EXTEND, Bool
SIMPLE, Bool
BLENDVER, String
UPWCSVER, String
D002GEOM, String
PATTERN1, String
D001VER, String
SPOTTAB, String
D001OUWE, String
D001FVAL, String
SUNANGLE, Float
D002WKEY, String
D002WTSC, Integer
FW2OFFST, Integer
D001DEXP, Float
FLSHFILE, String
MOONANGL, Float
OBSMODE, String
COMPTAB, String
FWSERROR, Bool
DQICORR, String
FILTER1, String
FILTER2, String
PRIMESI, String
IMPHTTAB, String
P1_ANGLE, Float
TARGNAME, String
SIPNAME, String
DARKFILE, String
DFLTFILE, String
D002MASK, String
NRPTEXP, Integer
RULESVER, Float
P1_SHAPE, String
EXPTIME, Float
LFLTFILE, String
PYWCSVER, String
PHOTCORR, String
D002KERN, String
NAXIS, Integer
DATE-OBS, String
FWSOFFST, Integer
POSTARG1, Float
OSCNTAB, String
D001OUUN, String
PATTSTEP, Integer
D002DATA, String
PROPOSID, Integer
D002PIXF, Float
INSTRUME, String
P1_ORINT, Float
APERTURE, String
SUBARRAY, Bool
P1_PURPS, String
NDRIZIM, Integer
P1_LSPAC, Float
DGEOFILE, String
P1_FRAME, String
D002OUWE, String
DRIZCORR, String
DIRIMAGE, String
D002COEF, String
BITPIX, Integer
P1_PSPAC, Float
D002SCAL, Float
NEXTEND, Integer
CSYS_VER, String
D001OUDA, String
D002ISCL, Float
D001WKEY, String
FGSLOCK, String
D001SCAL, Float
PROD_VER, String
D001WTSC, Integer
GYROMODE, String
IMAGETYP, String
D002FVAL, String
SCLAMP, String
LFLGCORR, String
WRTERR, Bool
IDCTAB, String
D002OUDA, String
SUN_ALT, Float
D001COEF, String
LRFWAVE, Float
CTEIMAGE, String
D001GEOM, String
D002VER, String
CRREJTAB, String
MDRIZTAB, String
P1_CENTR, String
POSTARG2, Float
EXPEND, Float
D002OUUN, String
ATODTAB, String
PHOTTAB, String
CRDS_VER, String
TELESCOP, String
TEXPTIME, Float
BPIXTAB, String
ASN_MTYP, String
FW1OFFST, Integer
CFLTFILE, String
D001PIXF, Float
D002OUCO, String
D001MASK, String
OBSTYPE, String
EXPFLAG, String
EXPSTART, Float
FLATCORR, String
BIASFILE, String
FW1ERROR, Bool
D002DEXP, Float
P1_NPTS, Integer
PROPAPER, String
DARKCORR, String
D001ISCL, Float
D001OUCO, String
D001DATA, String
FW2ERROR, Bool
DISTNAME, String
CRDS_CTX, String
CCDTAB, String
SHADFILE, String
GRAPHTAB, String
DETECTOR, String
D005WTSC, String
D050OUUN, String
D015ISCL, String
D048KERN, String
D044WTSC, String
D031OUWE, String
D018KERN, String
D025OUDA, String
D027PIXF, String
D032COEF, String
D039OUWE, String
D026OUDA, String
D008OUUN, String
D042OUCO, String
D044OUWE, String
D042FVAL, String
D020SCAL, String
D029OUWE, String
D038OUWE, String
D023GEOM, String
D020ISCL, String
D036GEOM, String
D048DEXP, String
D051OUUN, String
D027FVAL, String
D035FVAL, String
D016FVAL, String
D037DATA, String
D011GEOM, String
D031DATA, String
D045KERN, String
D003OUDA, String
D003OUUN, String
D016GEOM, String
D044OUUN, String
D036KERN, String
D008SCAL, String
D039ISCL, String
D029WTSC, String
D045OUCO, String
D029OUDA, String
D028PIXF, String
D017DATA, String
D031DEXP, String
D018SCAL, String
D041WTSC, String
D038DEXP, String
D020WTSC, String
D050MASK, String
D003COEF, String
D014OUDA, String
D013COEF, String
D023SCAL, String
D028SCAL, String
D041OUCO, String
D011OUWE, String
D022SCAL, String
D050OUDA, String
D025COEF, String
D024FVAL, String
D004KERN, String
D017ISCL, String
D045COEF, String
D036WTSC, String
D015VER, String
D020COEF, String
D003OUWE, String
D027OUUN, String
D012SCAL, String
D049ISCL, String
D043DEXP, String
D011WTSC, String
D017PIXF, String
D006FVAL, String
D022MASK, String
D019COEF, String
D043OUUN, String
D038OUCO, String
D030VER, String
D040COEF, String
D029COEF, String
D032KERN, String
D046VER, String
D023VER, String
D013OUUN, String
D016WTSC, String
D043GEOM, String
D051OUWE, String
D009KERN, String
D037DEXP, String
D003KERN, String
D052MASK, String
D043COEF, String
QUALCOM2, String
D039OUCO, String
D039DEXP, String
D029DEXP, String
D015DATA, String
D048OUWE, String
D003WTSC, Integer
D021ISCL, String
D025GEOM, String
D017OUUN, String
D026OUUN, String
D026MASK, String
D037WTSC, String
D041ISCL, String
D015OUCO, String
D043OUDA, String
D034OUDA, String
D029OUUN, String
D045SCAL, String
D036OUCO, String
D013OUCO, String
D021DATA, String
D014DATA, String
D022DATA, String
D021OUWE, String
D051OUCO, String
D052OUCO, String
D006ISCL, String
D014OUCO, String
D051SCAL, String
D041DEXP, String
D046MASK, String
D026VER, String
D026DEXP, String
D040VER, String
D009COEF, String
D029PIXF, String
D017OUCO, String
D015OUDA, String
D031WTSC, String
D022OUDA, String
D005ISCL, String
D006OUWE, String
D007WTSC, String
D020DATA, String
D011DEXP, String
D016ISCL, String
D013OUDA, String
D005DATA, String
D040WTSC, String
D025ISCL, String
D035OUWE, String
D042OUUN, String
D039OUDA, String
D035SCAL, String
D014MASK, String
D016DATA, String
D025MASK, String
D005OUCO, String
D025VER, String
D044OUCO, String
D039FVAL, String
D008KERN, String
D011DATA, String
D016OUCO, String
